SALESMANID,Name,Ssn,Title,Salary,Age,YearsOfExperience,Address,Gender,State
2,Care Gadman,521258218,Sales Representative,300483,48,8,2 Knutson Road,Male, in-office
4,Lorelei Rosle,858318613,Account Manager,320776,40,4,2 Village Green Crossing,Female, in-office
6,Del Totterdell,670836937,Outside Sales Representative,184559,39,10,3311 Namekagon Circle,Female, in-office
8,Rose Emery,700969523,Account Executive,102088,49,0,6 Vidon Center,Female, in-office
10,Irwinn Bucklan,674857295,Inside Sales Representative,214097,56,5,5841 Iowa Crossing,Male, in-office
12,Joel Plaschke,358616162,Sales Consultant,156761,46,1,13 Hallows Way,Male, in-office
14,Fabe De Vaan,393479251,Sales Manager,390836,39,10,64 Corscot Pass,Male, in-office
16,Joseph Bubear,227695899,Collection Agent,421313,58,4,370 Meadow Vale Terrace,Male, in-office
18,Chantalle Bediss,478130776,Sales Representative,143664,50,0,87714 Moose Parkway,Female, in-office
20,Dietrich Barabich,702140535,Account Manager,382467,41,3,66116 Sherman Plaza,Male, in-office
22,Fionnula Sponder,365706530,Outside Sales Representative,362944,60,7,190 Norway Maple Hill,Female, in-office
24,Dallis Guerreru,850967797,Account Executive,119376,55,0,6 Briar Crest Street,Male, in-office
26,Merline Knowlson,602105862,Inside Sales Representative,420744,58,0,8 Forest Avenue,Female, in-office
28,Kettie Teodorski,548493574,Sales Consultant,420616,57,2,6 Banding Center,Female, in-office
30,Husain Ashfull,599452790,Sales Manager,310767,53,2,0672 Colorado Street,Male, in-office
32,Arlen Northill,137456489,Collection Agent,324252,45,3,1924 Lukken Park,Female, in-office
34,Lanna Nand,567034165,Sales Representative,465176,53,4,5292 Eagan Way,Female, in-office
36,Damien Guyan,321522519,Account Manager,240230,59,9,41013 Sutteridge Circle,Male, in-office
38,Gus Ferbrache,116978981,Outside Sales Representative,197345,58,9,999 Scott Drive,Male, in-office
40,Remus MacKim,519969055,Account Executive,163676,47,8,6854 Maple Wood Way,Male, in-office
42,Christie Tidgewell,550358282,Inside Sales Representative,215481,43,3,111 Glacier Hill Park,Male, in-office
44,Amie Dittson,465304041,Sales Consultant,348771,36,9,1176 Londonderry Center,Female, in-office
